"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\MarekP\RPi\src\web\public\js\layouts\frame-list copy.js", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 14, 1, 169
"c:\Users\MarekP\RPi\src\web\public\js\layouts\frame-list.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 8, 1, 182
"c:\Users\MarekP\RPi\src\web\public\js\layouts\h-stack.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\layouts\horizontal-stack.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\MarekP\RPi\src\web\public\js\layouts\list-frame.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 1, 2, 26
"c:\Users\MarekP\RPi\src\web\public\js\layouts\room-card copy 2.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\layouts\room-card copy.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\layouts\room-card.js", "JavaScript", 280, 0, 0, 0, 0, 0, 0, 16, 2, 298
"c:\Users\MarekP\RPi\src\web\public\js\layouts\tab-layout.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\MarekP\RPi\src\web\public\js\layouts\v-stack.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\layouts\vertical-stack.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\MarekP\RPi\src\web\public\js\pages\base-page.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\MarekP\RPi\src\web\public\js\pages\blank-page.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\pages\dashboard-page.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\pages\home-page.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\MarekP\RPi\src\web\public\js\pages\login-page.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 1, 14
"c:\Users\MarekP\RPi\src\web\public\js\pages\settings-page.js", "JavaScript", 282, 0, 0, 0, 0, 0, 0, 17, 1, 300
"c:\Users\MarekP\RPi\src\web\public\js\utils\app-router.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 1, 100
